,X,meanY,stdY,meanYmean,meanYstd,X.1,D,order,class,classInt,newY,UD
51,51,135.5,0.707106781187,154.707804229,35.7215160728,96,2,7.0,B,0,135.470046843,1
52,52,145.0,2.16024689947,154.707804229,35.7215160728,97,2,8.0,B,0,147.430587215,1
53,53,153.5,1.29099444874,154.707804229,35.7215160728,98,2,9.0,B,0,153.596099233,1
54,54,158.0,2.73861278753,154.707804229,35.7215160728,99,2,10.0,B,0,156.74971997,1
55,55,168.5,4.18330013267,154.707804229,35.7215160728,100,2,11.0,B,0,178.309234484,1
56,56,181.8,4.80277697449,154.707804229,35.7215160728,101,2,12.0,B,0,180.205438882,1
57,57,190.0,3.89444048185,154.707804229,35.7215160728,102,2,13.0,B,0,188.849236429,1
58,58,185.0,1.58113883008,154.707804229,35.7215160728,103,2,14.0,B,0,185.014998428,1
59,59,184.0,2.16024689947,154.707804229,35.7215160728,104,2,15.0,B,0,184.822409393,1
60,60,186.0,2.73861278753,154.707804229,35.7215160728,105,2,16.0,B,0,186.902785844,1
61,61,185.0,1.58113883008,154.707804229,35.7215160728,106,2,17.0,B,0,183.281453112,1
62,62,191.0,5.11533641774,154.707804229,35.7215160728,107,2,18.0,B,0,200.067628287,1
63,63,185.0,2.73861278753,154.707804229,35.7215160728,108,2,19.0,B,0,181.852188847,1
64,64,179.888888889,4.7551142059,154.707804229,35.7215160728,109,2,20.0,B,0,178.785227583,1
65,65,176.75,5.10555253295,154.707804229,35.7215160728,110,2,21.0,B,0,188.58443623,1
66,66,180.72,8.03907125647,154.707804229,35.7215160728,111,2,22.0,B,0,183.072192919,1
67,67,172.1,3.47850542619,154.707804229,35.7215160728,112,2,23.0,B,0,173.870859351,1
68,68,176.0,2.16024689947,154.707804229,35.7215160728,113,2,24.0,B,0,179.706628524,1
69,69,194.916666667,4.16606056198,154.707804229,35.7215160728,114,2,25.0,B,0,199.868035107,1
70,70,197.5,1.29099444874,154.707804229,35.7215160728,115,2,26.0,B,0,192.241703385,1
71,71,190.090909091,3.47719845435,154.707804229,35.7215160728,116,2,27.0,B,0,187.262653134,1
72,72,170.0,1.58113883008,154.707804229,35.7215160728,117,2,28.0,B,0,169.620333251,1
73,73,166.5,3.60555127546,154.707804229,35.7215160728,118,2,29.0,B,0,172.672389273,1
74,74,166.5,4.18330013267,154.707804229,35.7215160728,119,2,30.0,B,0,159.883510318,1
75,75,151.0,4.08248290464,154.707804229,35.7215160728,120,2,31.0,B,0,149.423565277,1
76,76,145.555555556,3.50396600694,154.707804229,35.7215160728,121,2,32.0,B,0,142.239408816,1
77,77,140.0,2.73861278753,154.707804229,35.7215160728,122,2,33.0,B,0,140.599407357,1
78,78,139.0,3.31662479036,154.707804229,35.7215160728,123,2,34.0,B,0,141.634594431,1
79,79,129.1875,6.6253930701,154.707804229,35.7215160728,124,2,35.0,B,0,128.301189487,1
80,80,116.25,1.70782512766,154.707804229,35.7215160728,125,2,36.0,B,0,114.346250088,1
81,81,113.0,3.31662479036,154.707804229,35.7215160728,126,2,37.0,B,0,113.241968657,1
82,82,112.0,2.73861278753,154.707804229,35.7215160728,127,2,38.0,B,0,117.472737406,1
83,83,101.5,1.29099444874,154.707804229,35.7215160728,128,2,39.0,B,0,99.9858883458,1
84,84,100.5,1.29099444874,154.707804229,35.7215160728,129,2,40.0,B,0,98.2216525331,1
85,85,97.5,2.44948974278,154.707804229,35.7215160728,130,3,1.0,B,0,96.3493818142,2
86,86,96.9090909091,3.47719845435,154.707804229,35.7215160728,131,3,2.0,B,0,89.1902236732,2
87,87,111.0,3.31662479036,154.707804229,35.7215160728,132,3,3.0,B,0,110.796095116,2
88,88,111.5,3.0276503541,154.707804229,35.7215160728,133,3,4.0,B,0,111.82497374,2
89,89,112.5,3.0276503541,154.707804229,35.7215160728,134,3,5.0,B,0,112.786557501,2
90,90,116.333333333,4.87950036474,154.707804229,35.7215160728,135,3,6.0,B,0,113.674168493,2
91,91,118.5,1.87082869339,154.707804229,35.7215160728,136,3,7.0,B,0,117.523599872,2
92,92,122.142857143,2.41029537807,154.707804229,35.7215160728,137,3,8.0,B,0,125.141666033,2
93,93,139.090909091,4.52668853478,154.707804229,35.7215160728,138,3,9.0,B,0,131.384885483,2
94,94,155.409090909,7.07550496875,154.707804229,35.7215160728,139,3,10.0,B,0,148.761284247,2
95,95,158.0,6.204836823,154.707804229,35.7215160728,140,3,11.0,B,0,161.201932254,2
96,96,158.210526316,6.41680906654,154.707804229,35.7215160728,141,3,12.0,B,0,161.584270783,2
97,97,152.714285714,2.69037083654,154.707804229,35.7215160728,142,3,13.0,B,0,155.130148344,2
98,98,150.0,5.04975246918,154.707804229,35.7215160728,143,3,14.0,B,0,151.494224444,2
99,99,163.5,4.18330013267,154.707804229,35.7215160728,144,3,15.0,B,0,166.679369628,2
100,100,163.0,3.31662479036,154.707804229,35.7215160728,145,3,16.0,B,0,159.926870667,2
101,101,157.5,5.08920426,154.707804229,35.7215160728,146,3,17.0,B,0,158.630875689,2
102,102,152.923076923,4.03033370127,154.707804229,35.7215160728,147,3,18.0,B,0,160.466279854,2
103,103,152.357142857,4.41339121062,154.707804229,35.7215160728,148,3,19.0,B,0,152.638184915,2
104,104,158.428571429,5.0615262144,154.707804229,35.7215160728,149,3,20.0,B,0,166.003645327,2
105,105,162.0,1.58113883008,154.707804229,35.7215160728,150,3,21.0,B,0,161.62983442,2
106,106,169.307692308,7.72856838171,154.707804229,35.7215160728,151,3,22.0,B,0,171.812850593,2
107,107,174.5,4.7609522857,154.707804229,35.7215160728,152,3,23.0,B,0,176.28777717,2
108,108,164.714285714,2.56347977785,154.707804229,35.7215160728,153,3,24.0,B,0,167.504891595,2
109,109,166.0,1.58113883008,154.707804229,35.7215160728,154,3,25.0,B,0,168.75651264,2
110,110,177.5,0.707106781187,154.707804229,35.7215160728,155,3,26.0,B,0,176.872247016,2
111,111,181.0,2.16024689947,154.707804229,35.7215160728,156,3,27.0,B,0,182.537633761,2
112,112,178.5,3.60555127546,154.707804229,35.7215160728,157,3,28.0,B,0,178.982258494,2
113,113,178.5,3.60555127546,154.707804229,35.7215160728,158,3,29.0,B,0,180.735503493,2
114,114,167.117647059,5.82969073945,154.707804229,35.7215160728,159,3,30.0,B,0,168.52184701,2
115,115,153.0,3.31662479036,154.707804229,35.7215160728,160,3,31.0,B,0,147.772960181,2
116,116,152.5,3.60555127546,154.707804229,35.7215160728,161,3,32.0,B,0,151.160466727,2
117,117,137.0,2.16024689947,154.707804229,35.7215160728,162,3,33.0,B,0,135.312247247,2
118,118,132.5,1.29099444874,154.707804229,35.7215160728,163,3,34.0,B,0,132.414856916,2
119,119,123.0,2.73861278753,154.707804229,35.7215160728,164,3,35.0,B,0,122.675846339,2
120,120,121.0,3.31662479036,154.707804229,35.7215160728,165,3,36.0,B,0,122.213569397,2
121,121,110.0,3.31662479036,154.707804229,35.7215160728,166,3,37.0,B,0,104.672305131,2
122,122,105.5,1.87082869339,154.707804229,35.7215160728,167,3,38.0,B,0,101.395651664,2
123,123,96.5,2.44948974278,154.707804229,35.7215160728,168,3,39.0,B,0,96.864176557,2
124,124,96.5,2.44948974278,154.707804229,35.7215160728,169,3,40.0,B,0,93.9194061041,2
125,125,91.8333333333,2.31660671385,154.707804229,35.7215160728,170,3,41.0,B,0,94.0608428644,2
126,126,86.5,2.44948974278,154.707804229,35.7215160728,171,4,1.0,B,0,87.6115476996,3
127,127,87.5,2.44948974278,154.707804229,35.7215160728,172,4,2.0,B,0,87.2855533237,3
128,128,94.0,3.89444048185,154.707804229,35.7215160728,173,4,3.0,B,0,97.4307573971,3
129,129,99.5,1.29099444874,154.707804229,35.7215160728,174,4,4.0,B,0,100.981661263,3
130,130,105.5,1.29099444874,154.707804229,35.7215160728,175,4,5.0,B,0,105.871366659,3
131,131,105.0,2.73861278753,154.707804229,35.7215160728,176,4,6.0,B,0,108.28977118,3
132,132,108.5,1.29099444874,154.707804229,35.7215160728,177,4,7.0,B,0,108.574167287,3
133,133,123.842105263,5.87142948612,154.707804229,35.7215160728,178,4,8.0,B,0,123.432415092,3
134,134,145.0,4.24264068712,154.707804229,35.7215160728,179,4,9.0,B,0,141.109614109,3
135,135,154.416666667,3.75277674973,154.707804229,35.7215160728,180,4,10.0,B,0,158.738417212,3
136,136,159.666666667,5.16397779494,154.707804229,35.7215160728,181,4,11.0,B,0,169.534882161,3
137,137,174.5,3.0276503541,154.707804229,35.7215160728,182,4,12.0,B,0,178.721374479,3
138,138,180.5,3.0276503541,154.707804229,35.7215160728,183,4,13.0,B,0,182.416459124,3
139,139,181.5,8.80340843083,154.707804229,35.7215160728,184,4,14.0,B,0,183.733803522,3
140,140,189.0,3.89444048185,154.707804229,35.7215160728,185,4,15.0,B,0,186.202043471,3
141,141,193.0,2.16024689947,154.707804229,35.7215160728,186,4,16.0,B,0,192.035184366,3
142,142,189.5,4.18330013267,154.707804229,35.7215160728,187,4,17.0,B,0,196.485169278,3
143,143,200.5,5.9160797831,154.707804229,35.7215160728,188,4,18.0,B,0,188.0873542,3
144,144,198.947368421,5.72007851743,154.707804229,35.7215160728,189,4,19.0,B,0,186.121371173,3
145,145,205.8,6.29619768298,154.707804229,35.7215160728,190,4,20.0,B,0,210.371053967,3
146,146,205.0,3.89444048185,154.707804229,35.7215160728,191,4,21.0,B,0,206.343993664,3
147,147,207.5,2.44948974278,154.707804229,35.7215160728,192,4,22.0,B,0,208.93069853,3
148,148,209.0,1.58113883008,154.707804229,35.7215160728,193,4,23.0,B,0,211.439474665,3
149,149,212.0,2.16024689947,154.707804229,35.7215160728,194,4,24.0,B,0,213.023343225,3
150,150,207.5,3.60555127546,154.707804229,35.7215160728,195,4,25.0,B,0,206.836711152,3
151,151,196.0,4.472135955,154.707804229,35.7215160728,196,4,26.0,B,0,186.981299036,3
152,152,197.0,2.16024689947,154.707804229,35.7215160728,197,4,27.0,B,0,197.793747716,3
153,153,211.0,2.16024689947,154.707804229,35.7215160728,198,4,28.0,B,0,211.372516078,3
154,154,212.0,2.73861278753,154.707804229,35.7215160728,199,4,29.0,B,0,212.847513896,3
155,155,206.0,2.73861278753,154.707804229,35.7215160728,200,4,30.0,B,0,206.368234403,3
156,156,195.0,2.73861278753,154.707804229,35.7215160728,201,4,31.0,B,0,195.134789699,3
157,157,194.5,2.44948974278,154.707804229,35.7215160728,202,4,32.0,B,0,193.694795629,3
158,158,192.909090909,3.47719845435,154.707804229,35.7215160728,203,4,33.0,B,0,196.075438847,3
159,159,167.904761905,7.91773175793,154.707804229,35.7215160728,204,4,34.0,B,0,159.449820607,3
160,160,152.555555556,6.16653417982,154.707804229,35.7215160728,205,4,35.0,B,0,167.228207263,3
161,161,143.5,4.7609522857,154.707804229,35.7215160728,206,4,36.0,B,0,147.607099106,3
162,162,143.5,4.7609522857,154.707804229,35.7215160728,207,4,37.0,B,0,149.058075198,3
163,163,142.0,3.31662479036,154.707804229,35.7215160728,208,4,38.0,B,0,139.99704219,3
164,164,142.5,3.0276503541,154.707804229,35.7215160728,209,4,39.0,B,0,135.374519992,3
165,165,146.0,5.04975246918,154.707804229,35.7215160728,210,4,40.0,B,0,151.139249436,3
166,166,141.75,4.06201920232,154.707804229,35.7215160728,211,4,41.0,B,0,145.965568296,3
167,167,129.0,1.58113883008,154.707804229,35.7215160728,212,4,42.0,B,0,129.170071668,3
168,168,122.5,0.707106781187,154.707804229,35.7215160728,213,5,1.0,B,0,122.597921592,4
169,169,111.0,2.73861278753,154.707804229,35.7215160728,214,5,2.0,B,0,107.793255728,4
170,170,112.5,1.87082869339,154.707804229,35.7215160728,215,5,3.0,B,0,108.842943336,4
171,171,127.5,2.44948974278,154.707804229,35.7215160728,216,5,4.0,B,0,129.443869223,4
172,172,137.0,1.58113883008,154.707804229,35.7215160728,217,5,5.0,B,0,134.339718618,4
173,173,141.5,4.76445169983,154.707804229,35.7215160728,218,5,6.0,B,0,139.015173957,4
174,174,148.545454545,5.10614602932,154.707804229,35.7215160728,219,5,7.0,B,0,149.131503123,4
175,175,176.5,0.707106781187,154.707804229,35.7215160728,220,5,8.0,B,0,176.624305536,4
176,176,190.0,1.58113883008,154.707804229,35.7215160728,221,5,9.0,B,0,189.837351309,4
177,177,216.833333333,3.31159578854,154.707804229,35.7215160728,224,5,10.0,B,0,219.488617938,4
178,178,207.333333333,2.08166599947,154.707804229,35.7215160728,225,5,11.0,B,0,207.170261815,4
179,179,206.5,1.87082869339,154.707804229,35.7215160728,226,5,12.0,B,0,207.355242643,4
180,180,208.5,3.60555127546,154.707804229,35.7215160728,227,5,13.0,B,0,206.659437508,4
181,181,229.0,1.58113883008,154.707804229,35.7215160728,228,5,14.0,B,0,227.809784052,4
182,182,227.0,2.73861278753,154.707804229,35.7215160728,229,5,15.0,B,0,229.35764937,4
183,183,226.5,3.60555127546,154.707804229,35.7215160728,230,5,16.0,B,0,225.868229413,4
184,184,220.666666667,1.52752523165,154.707804229,35.7215160728,231,5,17.0,B,0,222.688975938,4
185,185,217.5,1.29099444874,154.707804229,35.7215160728,232,5,18.0,B,0,217.510951905,4
186,186,218.0,1.0,154.707804229,35.7215160728,233,5,19.0,B,0,217.045220707,4
187,187,220.5,1.87082869339,154.707804229,35.7215160728,234,5,20.0,B,0,223.148110035,4
188,188,219.083333333,4.31610795495,154.707804229,35.7215160728,235,5,21.0,B,0,220.690478358,4
189,189,217.461538462,6.92357548062,154.707804229,35.7215160728,236,5,22.0,B,0,212.036983973,4
190,190,223.5,1.87082869339,154.707804229,35.7215160728,237,5,23.0,B,0,225.560337292,4
191,191,211.4,4.1150131632,154.707804229,35.7215160728,238,5,24.0,B,0,206.353638553,4
192,192,203.0,3.6514837167,154.707804229,35.7215160728,239,5,25.0,B,0,200.822808242,4
193,193,205.5,3.0276503541,154.707804229,35.7215160728,240,5,26.0,B,0,205.917192001,4
194,194,214.0,4.472135955,154.707804229,35.7215160728,241,5,27.0,B,0,213.532438723,4
195,195,197.636363636,4.05642027588,154.707804229,35.7215160728,242,5,28.0,B,0,202.483886896,4
196,196,189.8,1.92353840617,154.707804229,35.7215160728,243,5,29.0,B,0,189.785095369,4
197,197,185.0,2.92770021885,154.707804229,35.7215160728,244,5,30.0,B,0,186.700270581,4
198,198,182.0,6.0827625303,154.707804229,35.7215160728,245,5,31.0,B,0,184.036457132,4
199,199,173.0,3.31662479036,154.707804229,35.7215160728,246,5,32.0,B,0,174.178183056,4
200,200,165.5,1.87082869339,154.707804229,35.7215160728,247,5,33.0,B,0,167.62000827,4
201,201,166.0,1.0,154.707804229,35.7215160728,248,5,34.0,B,0,165.442176252,4
202,202,167.0,2.16024689947,154.707804229,35.7215160728,249,5,35.0,B,0,170.955836103,4
203,203,152.5,3.0276503541,154.707804229,35.7215160728,250,5,36.0,B,0,155.118016492,4
204,204,145.2,1.92353840617,154.707804229,35.7215160728,251,5,37.0,B,0,145.665947991,4
205,205,133.444444444,3.43187671366,154.707804229,35.7215160728,252,5,38.0,B,0,128.471577219,4
206,206,130.5,1.87082869339,154.707804229,35.7215160728,253,5,39.0,B,0,130.594604314,4
207,207,119.714285714,2.87020822208,154.707804229,35.7215160728,254,5,40.0,B,0,120.205758627,4
208,208,114.5,1.29099444874,154.707804229,35.7215160728,255,5,41.0,B,0,115.898158784,4
209,209,111.416666667,3.75277674973,154.707804229,35.7215160728,256,5,42.0,B,0,115.529005145,4
210,210,114.166666667,2.31660671385,154.707804229,35.7215160728,257,6,1.0,B,0,115.424320092,5
211,211,113.5,4.18330013267,154.707804229,35.7215160728,258,6,2.0,B,0,109.785236474,5
212,212,116.5,3.0276503541,154.707804229,35.7215160728,259,6,3.0,B,0,116.175592855,5
213,213,122.571428571,2.99205296617,154.707804229,35.7215160728,260,6,4.0,B,0,123.803942543,5
214,214,147.5,5.9160797831,154.707804229,35.7215160728,261,6,5.0,B,0,147.448417518,5
215,215,162.5,2.44948974278,154.707804229,35.7215160728,262,6,6.0,B,0,161.612919503,5
216,216,172.5,7.07106781187,154.707804229,35.7215160728,263,6,7.0,B,0,167.033288375,5
217,217,166.5,4.7609522857,154.707804229,35.7215160728,264,6,8.0,B,0,166.120509143,5
218,218,171.266666667,7.40141556602,154.707804229,35.7215160728,265,6,9.0,B,0,171.730681838,5
219,219,177.666666667,5.65685424949,154.707804229,35.7215160728,266,6,10.0,B,0,182.96309303,5
220,220,160.44,8.14493707772,154.707804229,35.7215160728,267,6,11.0,B,0,152.312890211,5
221,221,148.444444444,3.57460176492,154.707804229,35.7215160728,268,6,12.0,B,0,151.05792999,5
222,222,146.0,5.04975246918,154.707804229,35.7215160728,269,6,13.0,B,0,145.977990599,5
223,223,153.0,1.58113883008,154.707804229,35.7215160728,270,6,14.0,B,0,153.179914888,5
224,224,163.5,5.33853912602,154.707804229,35.7215160728,271,6,15.0,B,0,168.174479545,5
225,225,175.0,3.89444048185,154.707804229,35.7215160728,272,6,16.0,B,0,176.219214674,5
226,226,176.4,5.32916503779,154.707804229,35.7215160728,273,6,17.0,B,0,171.402481439,5
227,227,181.16,7.62495901628,154.707804229,35.7215160728,274,6,18.0,B,0,179.82433756,5
228,228,170.8,7.05218642219,154.707804229,35.7215160728,275,6,19.0,B,0,187.557578726,5
229,229,167.0,4.16333199893,154.707804229,35.7215160728,276,6,20.0,B,0,159.516123361,5
230,230,169.5,3.0276503541,154.707804229,35.7215160728,277,6,21.0,B,0,169.228472579,5
231,231,172.0,5.04975246918,154.707804229,35.7215160728,278,6,22.0,B,0,170.669866166,5
232,232,159.0,5.04975246918,154.707804229,35.7215160728,279,6,23.0,B,0,158.354030219,5
233,233,167.0,1.58113883008,154.707804229,35.7215160728,280,6,24.0,B,0,167.240750578,5
234,234,170.6,3.20416395752,154.707804229,35.7215160728,281,6,25.0,B,0,167.982007716,5
235,235,173.0,2.16024689947,154.707804229,35.7215160728,282,6,26.0,B,0,169.542074142,5
236,236,175.875,5.66789202438,154.707804229,35.7215160728,283,6,27.0,B,0,162.024434978,5
237,237,171.5,11.1130553854,154.707804229,35.7215160728,284,6,28.0,B,0,173.905000421,5
238,238,176.0,8.51469318296,154.707804229,35.7215160728,285,6,29.0,B,0,153.16039794,5
239,239,168.5,4.18330013267,154.707804229,35.7215160728,286,6,30.0,B,0,164.939468531,5
240,240,167.5,5.33853912602,154.707804229,35.7215160728,287,6,31.0,B,0,167.060317261,5
241,241,154.5,2.44948974278,154.707804229,35.7215160728,288,6,32.0,B,0,154.020954371,5
242,242,138.5,0.707106781187,154.707804229,35.7215160728,289,6,33.0,B,0,137.641232485,5
243,243,133.571428571,2.99205296617,154.707804229,35.7215160728,290,6,34.0,B,0,137.742121145,5
244,244,126.0,1.58113883008,154.707804229,35.7215160728,291,6,35.0,B,0,126.90387902,5
245,245,123.5,1.29099444874,154.707804229,35.7215160728,292,6,36.0,B,0,126.080328693,5
246,246,121.0,2.73861278753,154.707804229,35.7215160728,293,6,37.0,B,0,117.255767641,5
247,247,108.5,2.44948974278,154.707804229,35.7215160728,294,6,38.0,B,0,102.270600239,5
248,248,110.0,2.16024689947,154.707804229,35.7215160728,295,6,39.0,B,0,113.404136553,5
249,249,107.5,1.87082869339,154.707804229,35.7215160728,296,6,40.0,B,0,105.957597243,5
250,250,107.0,2.16024689947,154.707804229,35.7215160728,297,6,41.0,B,0,109.803071419,5
251,251,96.0,3.31662479036,154.707804229,35.7215160728,298,7,1.0,B,0,93.6302624246,6
252,252,99.5,1.29099444874,154.707804229,35.7215160728,299,7,2.0,B,0,98.0669231038,6
253,253,115.0,3.31662479036,154.707804229,35.7215160728,300,7,3.0,B,0,118.710384214,6
254,254,116.5,3.60555127546,154.707804229,35.7215160728,301,7,4.0,B,0,116.143071288,6
255,255,131.125,2.90012315009,154.707804229,35.7215160728,302,7,5.0,B,0,134.240604997,6
256,256,138.5,1.29099444874,154.707804229,35.7215160728,303,7,6.0,B,0,139.036584495,6
257,257,140.0,1.58113883008,154.707804229,35.7215160728,304,7,7.0,B,0,138.104258704,6
258,258,152.666666667,3.0550504633,154.707804229,35.7215160728,305,7,8.0,B,0,154.441184693,6
259,259,164.111111111,2.93446947694,154.707804229,35.7215160728,306,7,9.0,B,0,161.73275067,6
260,260,178.357142857,6.05877802934,154.707804229,35.7215160728,307,7,10.0,B,0,186.345270194,6
261,261,190.875,3.27053949241,154.707804229,35.7215160728,308,7,11.0,B,0,190.591248717,6
262,262,193.4,2.70185121722,154.707804229,35.7215160728,309,7,12.0,B,0,192.48854918,6
263,263,203.0,3.31662479036,154.707804229,35.7215160728,310,7,13.0,B,0,203.924231258,6
264,264,203.5,3.60555127546,154.707804229,35.7215160728,311,7,14.0,B,0,203.101529864,6
265,265,196.0,1.0,154.707804229,35.7215160728,312,7,15.0,B,0,195.129212163,6
266,266,197.0,1.0,154.707804229,35.7215160728,313,7,16.0,B,0,195.65085559,6
267,267,203.0,3.31662479036,154.707804229,35.7215160728,314,7,17.0,B,0,198.701317733,6
268,268,199.818181818,3.60050501508,154.707804229,35.7215160728,315,7,18.0,B,0,200.52648692,6
269,269,197.5,4.18330013267,154.707804229,35.7215160728,316,7,19.0,B,0,198.983825832,6
270,270,206.5,4.7609522857,154.707804229,35.7215160728,317,7,20.0,B,0,201.820513315,6
271,271,200.5,1.29099444874,154.707804229,35.7215160728,318,7,21.0,B,0,198.382801508,6
272,272,195.0,3.53553390593,154.707804229,35.7215160728,319,7,22.0,B,0,197.908648753,6
273,273,180.5,5.33853912602,154.707804229,35.7215160728,320,7,23.0,B,0,182.699786219,6
274,274,173.3,8.30060238778,154.707804229,35.7215160728,321,7,24.0,B,0,179.182168495,6
275,275,159.5,3.60555127546,154.707804229,35.7215160728,322,7,25.0,B,0,163.894613022,6
276,276,170.0,4.472135955,154.707804229,35.7215160728,323,7,26.0,B,0,165.989693451,6
277,277,165.5,1.87082869339,154.707804229,35.7215160728,324,7,27.0,B,0,165.079020379,6
278,278,158.0,3.31662479036,154.707804229,35.7215160728,325,7,28.0,B,0,158.137679438,6
279,279,158.5,4.18330013267,154.707804229,35.7215160728,326,7,29.0,B,0,157.685864144,6
280,280,144.5,4.18330013267,154.707804229,35.7215160728,327,7,30.0,B,0,151.805255717,6
281,281,144.5,3.0276503541,154.707804229,35.7215160728,328,7,31.0,B,0,141.300372105,6
282,282,142.0,2.16024689947,154.707804229,35.7215160728,329,7,32.0,B,0,138.957669802,6
283,283,132.75,2.91547594742,154.707804229,35.7215160728,330,7,33.0,B,0,138.331458765,6
284,284,127.0,3.31662479036,154.707804229,35.7215160728,331,7,34.0,B,0,125.249082433,6
285,285,120.0,3.89444048185,154.707804229,35.7215160728,332,7,35.0,B,0,124.963311683,6
286,286,118.0,3.89444048185,154.707804229,35.7215160728,333,7,36.0,B,0,124.689741815,6
